CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1159	2185	26	0.8268	31.991
230	1252	26	0.8072	-14.017
852	2444	26	0.8559	-15.995
639	3948	26	0.9304	-14.016
1159	2825	26	0.8748	-45.057
525	928	26	0.8631	14.015
1428	2343	26	0.7488	152.011
513	1544	26	0.8134	-31.993
2033	3003	26	0.732	-12.000
852	1842	26	0.828	-0.000
37	1218	26	0.9497	-15.995
1859	4223	26	0.8221	152.013
2033	2444	26	0.8419	-31.990
37	2133	26	0.9372	-14.016
182	1842	26	0.8208	30.010
2230	4556	26	0.9046	0.001
106	2033	26	0.9594	14.015
248	2230	26	0.8631	15.995
